sub,ses,task,acq,space,den,meanFD,relMeansRMSMotion,relMaxRMSMotion,meanDVInit,meanDVFinal,nVolCensored,nVolsRemoved,motionDVCorrInit,motionDVCorrFinal
132179,10780,fracback,singleband,fsLR,91k,0.1275365543506491,0.0734314447826087,0.417609,100.37518253188487,38.67141832227357,0.0,0,0.6260614702945771,0.0064341942321524
132224,10151,fracback,singleband,fsLR,91k,0.0581380107883119,0.0311117627391304,0.19359,143.97624978344365,44.6111523431504,0.0,0,0.3601354588616663,-0.1399714503454533
132657,10616,fracback,singleband,fsLR,91k,0.1148466774686147,0.0607856125217391,1.27316,143.1655467261377,43.661016268981285,0.0,0,0.7852946566864463,-0.129125932283206
133220,10792,fracback,singleband,fsLR,91k,0.0369582766718704,0.0206879046521739,0.110538,111.95236064440914,37.42113583862251,0.0,0,0.4321908631272124,-0.1372484219524549
139272,10109,fracback,singleband,fsLR,91k,0.1666274261359303,0.0993979196521739,0.810756,145.94535595289872,45.86178308199495,0.0,0,0.8237665143912677,-0.1014296689458704
19977,10781,fracback,singleband,fsLR,91k,0.1349218724450216,0.0773153886956521,0.385482,101.48043303574416,33.299587583273734,0.0,0,0.7047050667028975,0.125278501769191
19981,10852,fracback,singleband,fsLR,91k,0.0591942432073591,0.0321903695717706,0.182888,108.16560000653163,31.90304088681484,0.0,0,0.3323985190399341,-0.0461732202256744
20011,10846,fracback,singleband,fsLR,91k,0.0831825738658003,0.0467497971304347,0.34772,109.83086087602398,37.87889849994209,0.0,0,0.6487574210882293,-0.1273137468522883
20017,10922,fracback,singlebandVARIANTObliquity,fsLR,91k,0.1020420665595466,0.0621937744347826,0.282704,105.77238938958344,36.881323144232,0.0,0,0.506440404928674,0.0279928652543136
20151,10947,fracback,singleband,fsLR,91k,0.2248208449220783,0.1315265287826086,0.712584,133.47710083918196,40.47548986535396,0.0,0,0.8588478410777932,0.3420288757441247
20153,10963,fracback,singleband,fsLR,91k,0.1172983630393938,0.0720913816521739,1.23604,125.40853262810406,46.0123671867799,0.0,0,0.908133968249073,-0.0001926311305497
20189,10988,fracback,singleband,fsLR,91k,0.0929491295670994,0.0522898040434782,0.28453,109.18299486844028,36.03495733420855,0.0,0,0.5988158197947934,-0.073481504704918
20197,10999,fracback,singleband,fsLR,91k,0.0363961078327012,0.0204071174493615,0.0954983,84.2435131486512,31.492398799881197,0.0,0,0.5608347763950497,0.1885320426309896
20247,11123,fracback,singleband,fsLR,91k,0.1960273644805193,0.1125925017391304,2.46203,141.9643278200207,43.954544264892384,0.0,0,0.9510095340006142,0.1436925035463971
20313,11136,fracback,singleband,fsLR,91k,0.0599172131667568,0.0344761210869565,0.59025,108.29032762385545,34.869580844280776,0.0,0,0.6469454080428046,-0.057697897171711
20320,11108,fracback,singleband,fsLR,91k,0.2081347509610384,0.1209959908695652,1.20512,140.37744585293865,47.27050582086809,0.0,0,0.789023680429449,0.1980377880999837
20322,11139,fracback,singleband,fsLR,91k,0.070588913058874,0.0404597347391304,0.391542,122.7714396564026,33.82541436011624,0.0,0,0.785257001291069,0.1667419347781725
20326,11192,fracback,singleband,fsLR,91k,0.0989487806190472,0.0540953209565217,0.326791,142.86990017052847,42.42995016977408,0.0,0,0.6642997150520435,-0.0396732309921817
20327,11170,fracback,singleband,fsLR,91k,0.1695687374242424,0.0990674772608695,2.96512,155.91249738267717,41.85307582094186,0.0,0,0.9258973575436974,0.2674789392405605
20362,11149,fracback,singleband,fsLR,91k,0.076995081212121,0.0461372718260869,0.302563,104.962396691202,36.92765995627183,0.0,0,0.8262091468150495,0.1441173998580616
20387,11165,fracback,singleband,fsLR,91k,0.0379254514862764,0.0214200976521739,0.147194,96.99133448872674,33.469726990588455,0.0,0,0.4455512776864183,-0.0214059564610172
20461,11193,fracback,singleband,fsLR,91k,0.0604624577692635,0.034442291347826,0.637321,99.36044073717922,32.059585770323984,0.0,0,0.7904957262187686,-0.2778277090826694
20589,11245,fracback,singleband,fsLR,91k,0.071565115551948,0.0402885602173913,0.14861,122.78696117953314,39.34842068469493,0.0,0,0.3675960381064618,0.0115232169711388
