bblid,scanid,meanDV,relMeanRMSMotion,relMaxRMSMotion,motionDVCorrInit,coregCrossCorr,coregJaccard,coregDice,coregCoverage,negativeVoxelsTS,negativeVoxels,normJaccard,normDice,normCrossCorr,normCoverage
116019,20160220x10078,5.000558,0.105706,0.856161,0.8457001,0.7224322,0.6299238,0.7729488,0.9789927,15955,13,0.6700618,0.8024395,0.7667279,0.9811827
116354,20171204x10643,0.9365098,0.440448,3.35749,0.1737973,0.666558,0.5592104,0.7172994,0.9875722,7842,12,0.5932836,0.7447307,0.7034765,0.9893286
117397,20170608x10582,1.028687,0.264111,2.23681,0.6649715,0.5777758,0.4655444,0.6353194,0.989065,24078,98,0.4904236,0.6580996,0.6072494,0.9925241
118864,20160423x10127,3.748449,0.09976,0.681449,0.7855918,0.7355593,0.6476303,0.7861355,0.9940284,6828,7,0.6753299,0.8062053,0.7733815,0.995741
118990,20160521x10156,4.544183,0.103212,0.562831,0.7845515,0.6735714,0.5676565,0.7242103,0.9856304,21869,75,0.5944646,0.7456605,0.7047272,0.9903813
119791,20160225x10082,4.280685,0.176214,0.406936,0.2999835,0.6861609,0.5934387,0.7448529,0.9836438,25366,43,0.6147638,0.7614288,0.7217588,0.9874622
120562,20171214x10666,0.9285936,0.120072,0.740888,0.323902,0.6395549,0.559003,0.7171288,0.974192,0.5693519,0.7255886,0.6798775,0.9785774
121001,20170221x10494,0.9396275,0.0767762,0.40967,0.1839514,0.6445355,0.542681,0.7035557,0.9897684,13105,25,0.546705,0.7069286,0.6619228,0.9921892
121085,20151219x10015,4.87753,0.0760155,0.490481,0.6707234,0.7598961,0.672813,0.8044091,0.984093,14066,11,0.6985124,0.822499,0.7901312,0.9856917
121670,20160521x10158,5.038211,0.0660845,0.56775,0.8917563,0.5994909,0.4785972,0.6473666,0.9943426,12260,40,0.5466544,0.7068863,0.6629585,0.9969746
122522,20170412x10540,0.9230361,0.245851,0.669169,0.4397401,0.67318,0.5829984,0.7365748,0.9759875,14980,72,0.5916505,0.7434428,0.7010402,0.9843624
122528,20180212x10697,0.9562687,0.112956,0.454966,0.3630924,0.6146832,0.5098003,0.6753215,0.9879614,17083,179,0.5176757,0.6821954,0.6336989,0.9897858
122916,20160409x10114,4.455826,0.127189,0.846828,0.646908,0.6846279,0.5912175,0.7431008,0.9846787,20482,46,0.618874,0.7645734,0.7252826,0.9874995
125511,20170428x10565,0.8725284,0.100128,1.02442,0.1791746,0.697234,0.5980901,0.7485061,0.9694215,6922,71,0.6056989,0.7544365,0.7112888,0.9734782
125535,20160514x10150,5.345634,0.0800211,0.436674,0.7684012,0.7148684,0.6042553,0.7533157,0.9954854,19396,28,0.6527124,0.7898681,0.7554099,0.9974903
125554,20160130x10058,4.674948,0.104109,0.662525,0.8061043,0.720643,0.6203238,0.7656788,0.9824769,18035,24,0.6635467,0.7977494,0.7621158,0.9853248
126176,20171024x10625,0.8718693,0.0669977,0.16208,0.4048095,0.7056961,0.5862823,0.7391904,0.9983015,6634,25,0.5879138,0.7404858,0.7007868,0.9991333
126554,20170604x10580,0.9817213,0.124815,0.365345,0.189726,0.6317146,0.5584185,0.7166477,0.9632211,18861,59,0.5661903,0.723016,0.6751014,0.9692086
