bblid,scanid,meanDV,relMeanRMSMotion,relMaxRMSMotion,motionDVCorrInit,coregCrossCorr,coregJaccard,coregDice,coregCoverage,negativeVoxels,normJaccard,normDice,normCrossCorr,normCoverage
121001,20110721x5410,1.41909,0.0404325,0.1008,0.372689,0.8293768,0.7593322,0.863205,0.961094,4223,0.8001699,0.8889937,0.8647922,0.9667627
121085,20110811x5537,1.195455,0.0839947,0.554308,0.843663,0.8052666,0.7319747,0.8452487,0.9516947,3831,0.7674946,0.8684548,0.8399921,0.9595315
121670,20110610x5186,1.184851,0.146161,0.894932,0.6008342,0.8016806,0.7199964,0.8372069,0.9214551,3428,0.755327,0.8606111,0.8287759,0.9339296
122522,20110603x5154,1.109686,0.0770575,0.614898,0.8210234,0.8097898,0.7441392,0.8533025,0.9035162,5135,0.786467,0.8804719,0.8520487,0.9118689
122528,20111105x5987,1.171779,0.0848323,0.426192,0.6048981,0.8107188,0.7374296,0.8488742,0.9331982,6198,0.7772385,0.8746586,0.8457669,0.9365775
122916,20120119x6311,1.193802,0.0841744,0.167872,0.1636556,0.7817542,0.7098578,0.8303121,0.9081259,4078,0.7538866,0.8596754,0.8268218,0.9184195
125511,20110818x5572,1.170225,0.0682999,0.380979,0.7567924,0.8091036,0.7363421,0.8481532,0.9165305,3404,0.7775002,0.8748243,0.8458914,0.9351153
125535,20121119x7484,1.200103,0.0545023,0.140147,0.2907064,0.8358847,0.7549455,0.8603634,0.9975465,5373,0.7893218,0.8822581,0.860092,0.9990163
125554,20110818x5571,1.203983,0.0724359,0.192514,0.5573669,0.8119605,0.7364921,0.8482528,0.9323907,4492,0.7708646,0.8706082,0.8413581,0.9440214
126176,20111103x5980,1.31545,0.0598267,0.276515,0.4880056,0.8319257,0.7479858,0.855826,0.9882723,3260,0.7840349,0.8789457,0.8553282,0.9907908
126554,20110729x5464,1.067545,0.0426975,0.111579,0.1826819,0.7794071,0.7134687,0.8327771,0.9626249,6049,0.7375301,0.8489408,0.8180853,0.9681239
126903,20110806x5511,1.287342,0.16208,0.702203,0.9113772,0.8057224,0.7327279,0.8457507,0.9392974,4927,0.7712134,0.8708306,0.8415034,0.9421604
127305,20120301x6526,1.191237,0.062798,0.127678,0.1623986,0.8391097,0.7581674,0.8624519,0.9685199,3280,0.7939739,0.8851566,0.8607642,0.972803
127417,20110812x5546,1.181714,0.127824,1.34254,0.8805092,0.8077411,0.7402001,0.8507069,0.9477105,5321,0.7776554,0.8749225,0.8474308,0.9572664
127611,20111021x5908,1.433153,0.107079,1.20199,0.7877763,0.8277984,0.7609998,0.8642815,0.9680075,2738,0.7990307,0.8882902,0.8645389,0.9739089
128154,20111212x6172,1.410685,0.179853,1.38987,0.8974551,0.812268,0.7331889,0.8460577,0.9463371,2400,0.7742689,0.8727751,0.844883,0.9571281
129405,20120305x6554,1.07013,0.611838,9.65883,0.9212958,0.832064,0.7668953,0.868071,0.9576634,8586,0.8070212,0.8932061,0.869453,0.962073
129886,20111021x5910,1.099131,0.103309,0.213744,0.325775,0.843701,0.7750617,0.8732786,0.9754998,3283,0.7993824,0.8885075,0.8652101,0.9786518
129926,20111216x6189,1.143193,0.0524147,0.595399,0.6016656,0.8373297,0.7711282,0.8707763,0.9600045,3460,0.8025484,0.8904597,0.8666586,0.9685227
130121,20111209x6151,1.119264,0.0929088,0.355295,0.5469748,0.8163652,0.7417417,0.8517241,0.974089,4818,0.7810272,0.8770525,0.851772,0.9779659
130211,20111119x6070,1.227014,0.0624108,0.12926,0.2414543,0.80487,0.7453679,0.8541098,0.9331753,3395,0.781084,0.8770883,0.8488844,0.9403101
130687,20111128x6083,1.21012,0.085557,0.180974,0.3743101,0.8070318,0.7384327,0.8495384,0.9163023,2664,0.773418,0.8722343,0.8422382,0.9231199
132179,20120120x6323,1.162745,0.0785749,0.189024,0.1051273,0.8331115,0.7554302,0.8606781,0.9769595,2671,0.77798,0.8751279,0.849955,0.9820388
132657,20120209x6414,1.206625,0.041833,0.144045,0.450552,0.8133034,0.7435417,0.8529095,0.9580371,3505,0.7689071,0.8693584,0.8412676,0.961972
133220,20120405x6694,1.251993,0.0800507,0.145235,0.2965868,0.7932359,0.7312239,0.844748,0.9257264,6815,0.7565948,0.8614335,0.8294453,0.9285859
81725,20120413x6726,1.135997,0.0945294,0.590981,0.1567887,0.8246447,0.7483015,0.8560326,0.9374764,3293,3293,0.7831837,0.8784106,0.8508081,0.9462068
81760,20100327x3085,1.237288,0.0366205,0.0781928,0.3077715,0.8098534,0.7395521,0.8502788,0.9473087,5079,0.7776031,0.8748894,0.847188,0.9545972
82492,20100318x3036,1.397288,0.0594779,0.207523,0.4089614,0.8124834,0.7426583,0.8523281,0.9030217,4936,0.7737157,0.8724236,0.8420964,0.9092369
82790,20100424x3211,1.060738,0.101179,0.268283,0.3639126,0.8226253,0.7473396,0.8554028,0.9678157,3492,0.7822998,0.8778543,0.852179,0.9724839
83454,20111010x5853,1.143274,0.031224,0.076094,0.3652661,0.8150498,0.741783,0.8517513,0.9487495,4671,0.7772867,0.8746892,0.8468942,0.9538368
83835,20120331x6671,1.172839,0.0597061,0.161822,0.6064322,0.8334804,0.7665531,0.8678518,0.9457811,6655,0.8003902,0.8891297,0.8636761,0.9465843
83999,20100304x2954,1.159177,0.0523399,0.162779,0.3944636,0.8107128,0.7507174,0.8576112,0.91418,4203,0.7884618,0.8817206,0.8538336,0.9245661
84688,20130822x8398,1.286839,0.125282,0.273864,0.3744739,0.8246232,0.7462313,0.8546763,0.9397239,4329,0.7800044,0.8764073,0.8487138,0.9507476
84761,20130708x8209,1.197842,0.0599736,0.178642,0.2703466,0.7929727,0.7200572,0.837248,0.9175244,7577,0.7580015,0.8623445,0.8302761,0.9234123
85173,20100429x3226,1.125694,0.104224,0.872927,0.9451038,0.778265,0.7136797,0.8329208,0.8859197,5608,0.7511799,0.8579129,0.823996,0.8945244
85853,20120121x6334,1.157273,0.058011,0.138846,0.2528934,0.8361163,0.76129,0.8644686,0.970726,3963,0.7915312,0.8836365,0.859493,0.9784125
86444,20120927x7284,1.076889,0.067855,0.111806,0.4382593,0.8494247,0.7786808,0.8755712,0.9905069,4973,0.8160018,0.8986795,0.8786763,0.9954751
86924,20100501x3232,1.218958,0.0782617,0.381831,0.5998806,0.8591414,0.7902015,0.8828073,0.9823727,4844,0.8121457,0.896336,0.8750013,0.9856278
87135,20110310x4634,1.26034,0.0413454,0.112797,0.4489695,0.807483,0.7449958,0.8538654,0.9281786,4266,0.7736143,0.8723591,0.8429344,0.9352748
87563,20110318x4679,1.209085,0.0810269,0.495332,0.550049,0.818374,0.7483794,0.8560835,0.9390337,6693,0.7893055,0.8822479,0.8555846,0.9493598
87601,20120531x6917,1.154744,0.0746772,0.188503,0.400413,0.8180649,0.735701,0.8477278,0.958086,4469,0.7735372,0.8723101,0.845027,0.9652846
88209,20130415x7910,1.071636,0.271427,1.16727,0.9136062,0.8521708,0.7737403,0.8724392,0.9958833,3734,0.8141892,0.8975791,0.8775491,0.996948
88402,20100528x3346,1.238384,0.0575716,0.13393,0.4552082,0.75941,0.6563269,0.7925089,0.9918956,3305,0.6895167,0.8162295,0.7843669,0.9940821
88773,20100717x3543,0.8574965,0.112859,0.512285,0.6764705,0.8229825,0.7487577,0.856331,0.9762226,3525,0.7955881,0.8861588,0.8626524,0.9806776
89377,20110912x5692,1.291173,0.0910373,0.506192,0.6895119,0.8235493,0.7528744,0.8590169,0.9559681,4016,0.7780055,0.8751441,0.8481519,0.9629344
90060,20110303x4592,1.240814,0.107641,1.14138,0.8063477,0.7845467,0.7167538,0.8350106,0.9197775,5356,0.7441575,0.8533146,0.8194047,0.9234229
90077,20100626x3465,1.382105,0.0744616,0.307856,0.5858016,0.7748301,0.704318,0.82651,0.9360274,4358,0.7362483,0.848091,0.8147415,0.9447499
90262,20100807x3646,1.09139,0.0676478,0.346339,0.7239811,0.8207318,0.7392201,0.8500593,0.9702653,2902,0.7742012,0.8727321,0.8464428,0.9749883
90281,20110331x4754,1.231326,0.0782223,0.17487,0.5121352,0.8015325,0.7250581,0.8406187,0.954894,6334,0.764532,0.866555,0.8380389,0.9626366
91962,20120420x6749,1.01451,0.252387,1.58264,0.7310234,0.8102253,0.7328911,0.8458594,0.9710684,4917,0.7800458,0.8764334,0.8508688,0.9761315
92193,20100805x3643,1.176748,0.0908736,0.252554,0.3300122,0.8025717,0.7429711,0.8525341,0.9255059,3616,0.7751599,0.8733409,0.8439056,0.9310105
92211,20100814x3683,1.188019,0.0383566,0.0946232,0.3022118,0.847406,0.7806019,0.8767843,0.971919,4551,0.8119884,0.8962402,0.8743988,0.9800661
92554,20101030x4043,1.201652,0.0485851,0.121949,0.387473,0.8229569,0.7580785,0.8623944,0.9428959,4872,0.796779,0.8868971,0.861117,0.9488547
92927,20120519x6872,1.101978,0.0345634,0.0784184,0.4073453,0.8016783,0.7319328,0.8452208,0.9172547,7357,0.7750387,0.873264,0.8441214,0.9371411
93051,20101008x3918,1.332266,0.0713286,0.152131,0.3569471,0.8135373,0.7435171,0.8528934,0.9323886,3861,0.7738026,0.8724789,0.8433512,0.9401559
93169,20101101x4053,1.331109,0.0556658,0.0957967,0.2089891,0.8390956,0.7620299,0.8649454,0.9811056,2305,0.7979219,0.8876046,0.8646229,0.9836392
93278,20100625x3456,1.200125,0.076656,0.496447,0.7983227,0.8094276,0.737314,0.8487976,0.9571522,3589,0.7715858,0.8710679,0.8433274,0.9625622
93406,20110407x4795,1.163325,0.10398,0.196976,0.2312773,0.8345852,0.7672067,0.8682705,0.9446283,4878,0.7925575,0.8842757,0.8576188,0.9421924
93787,20100731x3615,1.25235,0.0603628,0.178874,0.4482207,0.8115749,0.7458844,0.8544488,0.9354101,4087,0.7803814,0.8766452,0.8486169,0.9448669
94848,20100806x3638,1.040192,0.0694038,0.160417,0.2422893,0.8335375,0.7499169,0.8570886,0.9945188,2475,0.7936022,0.8849255,0.8628501,0.9963152
95015,20100821x3709,1.402376,0.779766,5.6172,0.8583924,0.8291768,0.7595362,0.8633368,0.9528918,2703,0.7954925,0.8860995,0.8609459,0.9610734
95057,20101113x4119,1.204241,0.18329,1.35647,0.8648289,0.8255315,0.7453846,0.8541207,0.9627629,2644,0.7889477,0.8820243,0.8564986,0.9658854
96659,20110806x5512,1.254406,0.16016,2.04854,0.824751,0.8094354,0.7445656,0.8535828,0.9238622,4259,0.7769895,0.8745009,0.8452593,0.9299524
97092,20110106x4331,1.115106,0.0675324,0.476328,0.5295471,0.8460336,0.7737798,0.8724644,0.9712542,5615,0.8131683,0.8969584,0.8751136,0.9785242
97994,20100923x3846,1.249345,0.0570679,0.177995,0.1102202,0.8046486,0.7341762,0.8467147,0.9429034,3429,0.7738645,0.8725181,0.8437552,0.9458558
98314,20100806x3637,1.072676,0.0798029,0.349089,0.5716536,0.8447594,0.7626572,0.8653494,0.996369,2907,0.8050367,0.8919893,0.8711615,0.9977349
98394,20120310x6578,1.192181,0.0840709,0.314099,0.1859552,0.8167499,0.7391419,0.8500076,0.9476027,5343,0.7744547,0.8728932,0.844391,0.9486526
98871,20120106x6246,1.151947,0.0475607,0.147081,0.4837897,0.8019524,0.7335927,0.8463265,0.9101068,5217,0.7727388,0.8718022,0.8416483,0.9213067
99604,20120216x6454,1.144903,0.0717117,0.520347,0.7147522,0.8355718,0.769914,0.8700016,0.9532665,3702,0.8044458,0.8916265,0.8675638,0.9619029
99949,20130406x7887,1.194893,0.0772895,0.200128,0.3247447,0.8497991,0.7804726,0.8767027,0.9646206,4121,0.8067176,0.8930201,0.8698493,0.9706974
