,sub,ses,FD,relRMS,coregDC,coregJC,coregCC,coregCOV,normDC,normJC,normCC,normCOV,cbfQEI,scoreQEI,scrubQEI,basilQEI,pvcQEI,GMmeanCBF,WMmeanCBF,Gm_Wm_CBF_ratio,NEG_CBF_PERC,NEG_SCORE_PERC,NEG_SCRUB_PERC,NEG_BASIL_PERC,NEG_PVC_PERC
147,121670,10158,0.096326228,0.000591878,0.985804284,0.972005963,0.982801765,1,0.968902875,0.939681482,0.960238121,0.969093986,0.820761504,0,0,0,0,50.30782222,36.34584633,1.384142269,0.030845157,0,0,0,0
148,110828,10134,0.208206791,0.001287753,0.986867034,0.974074546,0.984164931,1,0.97124319,0.944094057,0.963223413,0.971743555,0.8105404,0,0,0,0,66.66879314,49.59407462,1.344289487,0.249538896,0,0,0,0
149,91919,10117,0.278169446,0.004654806,0.999554376,0.999109149,0.999445282,1,0.979665102,0.960140738,0.973983507,0.985837856,0.835612624,0,0,0,0,58.69081507,43.77052587,1.340875256,0.081716037,0,0,0,0
150,85853,10103,0.149060727,0.001436042,0.9983448,0.99669507,0.99795538,1,0.977576402,0.956136384,0.971317733,0.98619403,0.83546281,0,0,0,0,61.4270913,45.85063558,1.339721697,0.209601757,0,0,0,0
151,98535,11254,0.359128418,0.00243153,0.992700005,0.985505817,0.990558666,1,0.963139289,0.928899397,0.953209816,0.977073226,0.385533773,0,0,0,0,430.1108455,268.4957368,1.601928025,0.461223095,0,0,0,0
152,109735,10671,0.303929239,0.001380392,0.983603151,0.96773534,0.980115535,1,0.961678534,0.926185739,0.951300754,0.974205141,0.593849525,0,0,0,0,558.7641201,485.418948,1.15109664,0,0,0,0,0
153,20189,10988,0.224318801,0.002684451,0.980522134,0.961788545,0.976857557,1,0.950936528,0.906462338,0.938278809,0.977271405,0.412106876,0,0,0,0,510.2493844,367.68879,1.387720807,0.058452186,0,0,0,0
154,20949,11422,0.139849702,0.003151199,0.977813607,0.956590319,0.971697957,1,0.944050447,0.894029876,0.929906255,0.976031692,0.356521565,0,0,0,0,472.6870002,314.4404011,1.503264207,0.113537118,0,0,0,0
155,97271,10366,0.213629243,0.000777892,0.979591045,0.959998479,0.974912915,1,0.956199648,0.916075231,0.944427665,0.971520718,0.016431595,0,0,0,0,584.197085,443.3471512,1.317696716,0.010477787,0,0,0,0
156,83999,10099,0.156928,0.001475093,0.999677534,0.999355275,0.999577684,1,0.959695788,0.922514566,0.948733733,0.970995686,0.787817651,0,0,0,0,43.57594469,28.8920614,1.508232455,0.375536481,0,0,0,0
