Unnamed: 0,SubjectID,HasOutput,HasHTML,NoErrorsToReport,HasDwiDir,HasFmapDir,HasAnatDir,ProducedPreprocessedDWIs,ProducedPreprocesedANATs,RanT1wSpatialNormalization,AllFmapsHaveIntendedFors,NoMissingDwiPhaseEncodingDirection,NoMissingFmapPhaseEncodingDirection,RuntimeErrorDescription,OSErrorDescription,CommandErrorDescription,HadScratchSpace,HadRAMSpace,HadDiskSpace,FinishedSuccessfully,HasErrorFile,ValueError,ConnectionOpenFailError,Broken Pipe,ProducedPreprocessedANATs
0,sub-127236,True,True,True,,,,True,True,True,,,,No Runtime Error,No OS Error,No Command Error,True,True,True,True,True,False,False,False,
0,sub-127305,True,True,True,,,,True,True,True,,,,No Runtime Error,No OS Error,No Command Error,True,True,True,True,True,False,False,False,
0,sub-127417,True,True,True,,,,True,True,True,,,,No Runtime Error,No OS Error,No Command Error,True,True,True,True,True,False,False,False,
0,sub-127542,False,False,False,,,,False,False,False,,,,No Runtime Error,No OS Error,"CommandError: 'bash ./code/qsiprep_zip.sh sub-127542' failed with exitcode 1 under /scratch/grmpy/SGE_2523474/job-2523474-sub-127542/ds
",True,True,True,False,True,False,False,False,False
0,sub-127611,True,True,True,,,,True,True,True,,,,No Runtime Error,No OS Error,No Command Error,True,True,True,True,True,False,False,False,
0,sub-128061,True,True,True,,,,True,True,True,,,,No Runtime Error,No OS Error,No Command Error,True,True,True,True,True,False,False,False,
0,sub-128154,True,True,True,,,,True,True,True,,,,No Runtime Error,No OS Error,No Command Error,True,True,True,True,True,False,False,False,
0,sub-129354,False,False,False,,,,False,False,False,,,,No Runtime Error,No OS Error,"CommandError: 'bash ./code/qsiprep_zip.sh sub-129354' failed with exitcode 1 under /scratch/grmpy/SGE_2523478/job-2523478-sub-129354/ds
",True,True,True,False,True,False,False,False,False
0,sub-129405,True,True,True,,,,True,True,True,,,,No Runtime Error,No OS Error,No Command Error,True,True,True,True,True,False,False,False,
0,sub-129552,True,True,True,,,,True,True,True,,,,No Runtime Error,No OS Error,No Command Error,True,True,True,True,True,False,False,False,
0,sub-129720,True,True,True,,,,True,True,True,,,,No Runtime Error,No OS Error,No Command Error,True,True,True,True,True,False,False,False,
0,sub-129886,True,True,True,,,,True,True,True,,,,No Runtime Error,No OS Error,No Command Error,True,True,True,True,True,False,False,False,
0,sub-129926,False,False,False,,,,False,False,False,,,,No Runtime Error,No OS Error,"CommandError: 'bash ./code/qsiprep_zip.sh sub-129926' failed with exitcode 1 under /scratch/grmpy/SGE_2523483/job-2523483-sub-129926/ds
",True,True,True,False,True,False,False,False,False
0,sub-130121,True,True,True,,,,True,True,True,,,,No Runtime Error,No OS Error,No Command Error,True,True,True,True,True,False,False,False,
0,sub-130211,False,False,False,,,,False,False,False,,,,No Runtime Error,No OS Error,"CommandError: 'bash ./code/qsiprep_zip.sh sub-130211' failed with exitcode 1 under /scratch/grmpy/SGE_2523485/job-2523485-sub-130211/ds
",True,True,True,False,True,False,False,False,False
0,sub-130687,True,True,True,,,,True,True,True,,,,No Runtime Error,No OS Error,No Command Error,True,True,True,True,True,False,False,False,
0,sub-130759,True,True,True,,,,True,True,True,,,,No Runtime Error,No OS Error,No Command Error,True,True,True,True,True,False,False,False,
0,sub-130896,False,False,False,,,,False,False,False,,,,No Runtime Error,No OS Error,"CommandError: 'bash ./code/qsiprep_zip.sh sub-130896' failed with exitcode 1 under /scratch/grmpy/SGE_2523488/job-2523488-sub-130896/ds
",True,True,True,False,True,False,False,False,False
0,sub-131224,True,True,True,,,,True,True,True,,,,No Runtime Error,No OS Error,No Command Error,True,True,True,True,True,False,False,False,
0,sub-131867,True,True,True,,,,True,True,True,,,,No Runtime Error,No OS Error,No Command Error,True,True,True,True,True,False,False,False,
0,sub-132179,True,True,True,,,,True,True,True,,,,No Runtime Error,No OS Error,No Command Error,True,True,True,True,True,False,False,False,
0,sub-132224,True,True,True,,,,True,True,True,,,,No Runtime Error,No OS Error,No Command Error,True,True,True,True,True,False,False,False,
0,sub-132657,True,True,True,,,,True,True,True,,,,No Runtime Error,No OS Error,No Command Error,True,True,True,True,True,False,False,False,
0,sub-133220,True,True,True,,,,True,True,True,,,,No Runtime Error,No OS Error,No Command Error,True,True,True,True,True,False,False,False,
0,sub-139272,False,False,False,,,,False,False,False,,,,No Runtime Error,No OS Error,"CommandError: 'bash ./code/qsiprep_zip.sh sub-139272' failed with exitcode 1 under /scratch/grmpy/SGE_2523495/job-2523495-sub-139272/ds
",True,True,True,False,True,False,False,False,False
0,sub-19977,True,True,True,,,,True,True,True,,,,No Runtime Error,No OS Error,No Command Error,True,True,True,True,True,False,False,False,
0,sub-19981,True,True,True,,,,True,True,True,,,,No Runtime Error,No OS Error,No Command Error,True,True,True,True,True,False,False,False,
0,sub-20011,True,True,True,,,,True,True,True,,,,No Runtime Error,No OS Error,No Command Error,True,True,True,True,True,False,False,False,
0,sub-20017,True,True,True,,,,True,True,True,,,,No Runtime Error,No OS Error,No Command Error,True,True,True,True,True,False,False,False,
0,sub-20120,True,True,True,,,,True,True,True,,,,No Runtime Error,No OS Error,No Command Error,True,True,True,True,True,False,False,False,
0,sub-20151,True,True,True,,,,True,True,True,,,,No Runtime Error,No OS Error,No Command Error,True,True,True,True,True,False,False,False,
0,sub-20153,True,True,True,,,,True,True,True,,,,No Runtime Error,No OS Error,No Command Error,True,True,True,True,True,False,False,False,
0,sub-20189,True,True,True,,,,True,True,True,,,,No Runtime Error,No OS Error,No Command Error,True,True,True,True,True,False,False,False,
0,sub-20197,True,True,True,,,,True,True,True,,,,No Runtime Error,No OS Error,No Command Error,True,True,True,True,True,False,False,False,
0,sub-20247,True,True,True,,,,True,True,True,,,,No Runtime Error,No OS Error,No Command Error,True,True,True,True,True,False,False,False,
0,sub-20313,True,True,True,,,,True,True,True,,,,No Runtime Error,No OS Error,No Command Error,True,True,True,True,True,False,False,False,
0,sub-20320,True,True,True,,,,True,True,True,,,,No Runtime Error,No OS Error,No Command Error,True,True,True,True,True,False,False,False,
0,sub-20322,True,True,True,,,,True,True,True,,,,No Runtime Error,No OS Error,No Command Error,True,True,True,True,True,False,False,False,
0,sub-20325,True,True,True,,,,True,True,True,,,,No Runtime Error,No OS Error,No Command Error,True,True,True,True,True,False,False,False,
0,sub-20326,True,True,True,,,,True,True,True,,,,No Runtime Error,No OS Error,No Command Error,True,True,True,True,True,False,False,False,
